"Method","k","RMSE"
"True_trawl",1,0.984947773875263
"Nonparametric",1,0.984949778685335
"Exponential",1,0.985152130676539
"Piecewise",1,0.984959102567123
"Hybrid",1,0.984952498796849
"True_trawl",2,0.992104690943711
"Nonparametric",2,0.992022241641283
"Exponential",2,0.997148583925861
"Piecewise",2,0.993245455476204
"Hybrid",2,0.991768735249648
"True_trawl",3,1.04632179814625
"Nonparametric",3,1.05019325101734
"Exponential",3,1.06818305975669
"Piecewise",3,1.05258584964021
"Hybrid",3,1.04868733177204
"True_trawl",4,1.04632179814625
"Nonparametric",4,1.05019325101734
"Exponential",4,1.06818305975669
"Piecewise",4,1.05258584964021
"Hybrid",4,1.04868733177204
"True_trawl",5,1.09065288297712
"Nonparametric",5,1.09937025433146
"Exponential",5,1.12139886010843
"Piecewise",5,1.10053812273354
"Hybrid",5,1.09694699581114
"True_trawl",6,1.20581957583821
"Nonparametric",6,1.22506342167968
"Exponential",6,1.25006135692146
"Piecewise",6,1.22414120665574
"Hybrid",6,1.22053411648884
"True_trawl",7,1.20581957583821
"Nonparametric",7,1.22506342167968
"Exponential",7,1.25006135692146
"Piecewise",7,1.22414120665574
"Hybrid",7,1.22053411648884
"True_trawl",8,1.27366446637233
"Nonparametric",8,1.29971202463225
"Exponential",8,1.32143476386403
"Piecewise",8,1.29652256252539
"Hybrid",8,1.29403938977341
"True_trawl",9,1.34664171413384
"Nonparametric",9,1.37847231635871
"Exponential",9,1.39546603672826
"Piecewise",9,1.37412189285616
"Hybrid",9,1.37165587232852
"True_trawl",10,1.42371048658614
"Nonparametric",10,1.46158294065515
"Exponential",10,1.4710514109084
"Piecewise",10,1.45583956409357
"Hybrid",10,1.45361534955599
